Index	Sentiment	Buy Price
SWN	1.0656	7.48
TSCO	1.0609	63.54
FAST	1.0596	45.54
RIG	1.0489	11.72
FTR	1.046	1.94
RRC	1.0427	27.77
CHK	1.0399	5.89
WFC	1.0398	51.35
FCX	1.0385	12.72
DVN	1.0358	40.65
NUE	1.0352	56.96
QCOM	1.0345	52.79
FDX	1.0344	183.73
URI	1.0336	119.29
MOS	1.0328	27.46
FLR	1.032	50.18
MRO	1.0308	15.91
PXD	1.0307	182.06
ROK	1.0306	148.43
PWR	1.0294	34.16
ENDP	1.0288	10.75
SCHW	1.0287	37.53
FLS	1.0287	47.00
PCAR	1.0285	64.63
NFX	1.0285	35.39
R	1.0283	73.60
MLM	1.0283	210.11
CAT	1.028	93.10
PH	1.0275	153.59
CF	1.0269	28.42
HOG	1.0262	59.70
LYB	1.0257	84.91
RF	1.0256	13.68
ZION	1.0251	39.45
FTI	1.0242	32.52
CMI	1.0238	144.57
ALK	1.0235	86.33
APA	1.0235	52.37
PBCT	1.0234	17.29
SNI	1.0233	74.28
ADS	1.0232	234.91
HBAN	1.0231	12.59
GPS	1.0231	23.69
HAL	1.023	48.38
CVX	1.0229	106.10
TXT	1.0229	46.54
XYL	1.0227	48.88
FITB	1.0227	23.93
JBHT	1.0226	89.14
CFG	1.0223	33.24
APC	1.0223	61.09
GT	1.0223	34.14
AN	1.0221	39.43
UNM	1.0218	44.66
GWW	1.0218	221.50
MET	1.0217	51.12
KMX	1.0217	55.37
WRK	1.0216	49.34
COP	1.0214	48.62
FMC	1.0214	72.56
MUR	1.0211	27.56
LNC	1.0209	63.23
GRMN	1.0206	48.69
BHI	1.0205	59.46
MAT	1.0201	25.01
DAL	1.0201	44.03
CMA	1.02	65.21
VMC	1.0198	117.28
DOW	1.0197	61.06
EOG	1.0197	95.64
DISCK	1.0196	27.73
MYL	1.0195	37.67
UAL	1.0194	69.07
DISCA	1.0194	28.29
ETFC	1.0194	33.22
DOV	1.0194	78.52
EMR	1.0192	57.87
NVDA	1.0191	95.49
COG	1.0191	24.00
HES	1.019	49.44
JEC	1.0189	52.97
SWKS	1.0189	97.47
BAC	1.0189	22.34
LUK	1.0188	25.52
NSC	1.0187	111.58
EMN	1.0185	77.93
HP	1.0183	67.35
NOV	1.0181	37.71
DD	1.0181	77.44
COL	1.018	96.63
FSLR	1.0177	27.42
WYNN	1.0175	113.47
IVZ	1.0175	30.03
STI	1.0175	53.45
BBT	1.0175	42.62
COF	1.0174	81.02
L	1.0173	46.13
ETN	1.0171	73.51
AIG	1.0169	59.55
AYI	1.0168	172.72
ADI	1.0168	76.51
UNP	1.0166	104.78
QRVO	1.0165	68.48
MTB	1.0164	147.93
VIAB	1.0164	43.77
ABT	1.0164	42.67
MS	1.0164	40.69
AMAT	1.0163	37.52
AIZ	1.0163	92.68
CBS	1.0163	66.46
